25470100	-33.9434595	25.5327401	city	Port Elizabeth	No data	Порт-Элизабет	1050000	"name":"Port Elizabeth","is_in":"Eastern Cape, South Africa","place":"city","source":"sagns","name:pt":"Porto Elizabeth","name:ru":"Порт-Элизабет","name:xh":"Ibhayi","sagns_id":"116271","wikipedia":"en:Port Elizabeth","population":"1050000","is_in:state":"Eastern Cape","is_in:country":"South Africa","is_in:continent":"Africa","is_in:country_code":"ZA"
25730724	33.5939157	-7.6176293	city	Casablanca الدار البيضاء	Casablanca	Касабланка	3100000	"name":"Casablanca الدار البيضاء","rank":"1","is_in":"Casablanca-Settat, Morocco","place":"city","capital":"4","name:ar":"الدار البيضاء","name:de":"Casablanca","name:en":"Casablanca","name:fr":"Casablanca","name:hi":"कासाब्लांका","name:hu":"Casablanca","name:ja":"カサブランカ","name:kn":"ಕಾಸಾಬ್ಲಾಂಕಾ","name:lv":"Kasablanka","name:ru":"Касабланка","name:tr":"Kazablanka","int_name":"Casablanca","name:ber":"ⴻⴷⴷⴰⵔ ⴱⵉⴹⴰ","population":"3100000","admin_level":"6","alt_name:ar":"کازابلانکا","is_in:country":"Morocco","is_in:continent":"Africa","is_in:country_code":"MA"
26756035	33.8850849	-5.5678716	city	Meknès  مكناس ⵎⴽⵏⴰⵙ	No data	Мекнес	1000000	"capital":"4","int_name":"Meknes","is_in:continent":"Africa","is_in:country":"Morocco","is_in:country_code":"MA","is_in:province":"Meknès-El Menzeh","is_in:region":"Meknès-Tafilalet","name":"Meknès  مكناس ⵎⴽⵏⴰⵙ","name:ar":"مكناس","name:de":"Meknès","name:es":"Mequínez","name:fr":"Meknès","name:ru":"Мекнес","name:zgh":"ⵎⴽⵏⴰⵙ","place":"city","population":"1000000","population:date":"2011","wikipedia":"fr:Meknes"
27043346	-4.3217055	15.3125974	city	Kinshasa	No data	Киншаса	9046000	"ele":"240","name":"Kinshasa","is_in":"République Démocratique du Congo","place":"city","capital":"yes","name:am":"ኪንሻሳ","name:ar":"كينشاسا","name:az":"Kinşasa","name:be":"Кіншаса","name:bg":"Киншаса","name:bo":"ཀིན་ཤ་ས།","name:cs":"Kinshasa","name:de":"Kinshasa","name:el":"Κινσάσα","name:eo":"Kinŝaso","name:es":"Kinsasa","name:fa":"کینشاسا","name:fy":"Kinsjasa","name:he":"קינשאסה","name:hi":"किन्शासा","name:ht":"Kinchasa","name:hy":"Կինշասա","name:is":"Kinsasa","name:ja":"キンシャサ","name:ka":"კინშასა","name:kg":"Kinsasa","name:kk":"Киншаса","name:kn":"ಕಿನ್ಶಾಸಾ","name:ko":"킨샤사","name:ku":"Kînşasa","name:ky":"Киншаса","name:ln":"Kinsásá","name:lt":"Kinšasa","name:lv":"Kinšasa","name:mk":"Киншаса","name:ml":"കിൻഷസ","name:mr":"किन्शासा","name:my":"ကင်ရှာဆာမြို့","name:os":"Киншаса","name:pl":"Kinszasa","name:ru":"Киншаса","name:sr":"Киншаса","name:sv":"Kinshasa","name:ta":"கின்ஷாசா","name:tg":"Киншаса","name:th":"กินชาซา","name:tk":"Kinşasa","name:tr":"Kinşasa","name:uk":"Кіншаса","name:ur":"کنشاسا","name:yi":"קינשאזע","name:zh":"金沙薩","name:arz":"كينشاسا","name:ckb":"کینشاسا","name:mhr":"Киншаса","name:mrj":"Киншаса","name:pnb":"کنشاسہ","name:rue":"Кіншаса","name:sah":"Киншаса","name:udm":"Киншаса","old_name":"Léopoldville","wikipedia":"de:Kinshasa","is_capital":"country","population":"9046000","admin_level":"2","name:zh-yue":"金沙薩","name:bat-smg":"Kinšasa","is_in:continent":"Africa","is_in:iso_3166_2":"CD-KN"
27564941	-8.8271656	13.2436665	city	Luanda	No data	Луанда	5172900	"name":"Luanda","is_in":"Angola","place":"city","capital":"yes","name:am":"ሏንዳ","name:ar":"لواندا","name:be":"Луанда","name:bg":"Луанда","name:bn":"লুয়ান্ডা","name:bo":"ལའུན་ཌ།","name:ce":"Луанда","name:cs":"Luanda","name:de":"Luanda","name:el":"Λουάντα","name:eo":"Luando","name:fa":"لوآندا","name:fr":"Luanda","name:he":"לואנדה","name:ht":"Louanda","name:hu":"Luanda","name:hy":"Լուանդա","name:is":"Lúanda","name:ja":"ルアンダ","name:ka":"ლუანდა","name:kg":"Lwanda","name:kn":"ಲೂಆಂಡ","name:ko":"루안다","name:ku":"Luanda","name:ky":"Луанда","name:ln":"Lwanda","name:lt":"Luanda","name:mk":"Луанда","name:mr":"लुआंडा","name:nl":"Luanda","name:os":"Луандæ","name:pl":"Luanda","name:ru":"Луанда","name:sr":"Луанда","name:sv":"Luanda","name:ta":"லுவாண்டா","name:tg":"Луанда","name:th":"ลูอันดา","name:uk":"Луанда","name:ur":"لواندا","name:zh":"羅安達","name:ckb":"لواندا","name:mrj":"Луанда","name:pnb":"لونڈا","name:udm":"Луанда","name:vep":"Luand","wikidata":"Q3897","wikipedia":"de:Luanda","is_capital":"country","population":"5172900","admin_level":"2","wikipedia:fr":"Luanda","is_in:country":"Angola","name:be-x-old":"Луанда","is_in:continent":"Africa","is_in:country_code":"AO"
27564954	12.6493194	-8.0003371	city	Bamako	No data	Бамако	1809106	"ele":"350","name":"Bamako","is_in":"Mali","place":"city","capital":"yes","name:am":"ባማኮ","name:ar":"باماكو","name:be":"Бамако","name:bg":"Бамако","name:bm":"Bamakɔ","name:bo":"བ་མ་ཀོ།","name:cv":"Бамако","name:de":"Bamako","name:el":"Μπαμάκο","name:fa":"باماکو","name:gl":"Bamaco - Bamako","name:he":"במקו","name:hi":"बमाको","name:hu":"Bamako","name:hy":"Բամակո","name:is":"Bamakó","name:ja":"バマコ","name:ka":"ბამაკო","name:ko":"바마코","name:ky":"Бамако","name:lt":"Bamakas","name:mk":"Бамако","name:mr":"बमाको","name:os":"Бамако","name:pl":"Bamako","name:ru":"Бамако","name:sr":"Бамако","name:sv":"Bamako","name:ta":"பமாக்கோ","name:tg":"Бамако","name:th":"บามาโก","name:uk":"Бамако","name:ur":"بماکو","name:zh":"巴馬科","name:arc":"ܒܡܩܘ","name:ckb":"باماکۆ","name:kab":"Bamaku","name:mrj":"Бамако","name:pnb":"بماکو","name:udm":"Бамако","ocha:fid":"1","ocha:type":"Capitale","wikipedia":"fr:Bamako","population":"1809106","admin_level":"2","is_in:country":"Mali","ocha:objectid":"2","name:be-tarask":"Бамака","is_in:continent":"Africa","is_in:country_code":"ML"
27564973	-11.6642316	27.4826264	city	Lubumbashi	Lubumbashi	Лубумбаши	1139064	"name":"Lubumbashi","is_in":"Congo-Kinshasa","place":"city","name:en":"Lubumbashi","name:ru":"Лубумбаши","name:uk":"Лубумбаші","old_name":"Elisabethville","wikipedia":"en:Lubumbashi","population":"1139064","is_in:country":"Congo-Kinshasa","is_in:continent":"Africa"
27564980	6.3280343	-10.7977882	city	Monrovia	No data	Монровия	1010970	"name":"Monrovia","is_in":"Liberia","place":"city","capital":"yes","name:am":"ሞንሮቪያ","name:ar":"مونروفيا","name:az":"Monroviya","name:be":"Манровія","name:bg":"Монровия","name:bo":"མོང་རོ་ཝི་ཡ།","name:ca":"Monròvia","name:de":"Monrovia","name:el":"Μονρόβια","name:eo":"Monrovio","name:fa":"مونروویا","name:he":"מונרוביה","name:hu":"Monrovia","name:hy":"Մոնրովիա","name:is":"Mondróvía","name:ja":"モンロビア","name:ka":"მონროვია","name:ko":"몬로비아","name:ky":"Монровия","name:lt":"Monrovija","name:lv":"Monrovija","name:mk":"Монровија","name:mr":"मोन्रोव्हिया","name:oc":"Monròvia","name:pl":"Monrovia","name:pt":"Monróvia","name:ru":"Монровия","name:so":"Monrofia","name:sr":"Монровија","name:sv":"Monrovia","name:ta":"மொன்ரோவியா","name:tg":"Монровия","name:th":"มันโรเวีย","name:uk":"Монровія","name:ur":"مونروویا","name:zh":"蒙羅維亞","name:ckb":"مۆنرۆڤیا","name:mrj":"Монрови","name:pnb":"مونروویا","name:udm":"Монровия","wikipedia":"de:Monrovia","is_capital":"country","population":"1010970","admin_level":"2","unocha:pcode":"LBR30040000043","is_in:country":"Liberia","is_in:continent":"Africa","is_in:country_code":"LR"
27564994	-15.4166967	28.2813812	city	Lusaka	No data	Лусака	1742979	"name":"Lusaka","is_in":"Zambia","place":"city","capital":"yes","name:am":"ሉሳካ","name:ar":"لوساكا","name:be":"Лусака","name:bg":"Лусака","name:bn":"লুসাকা","name:bo":"ལུ་ས་ཀ།","name:de":"Lusaka","name:el":"Λουσάκα","name:eo":"Lusako","name:fa":"لوساکا","name:fy":"Lûsaka","name:gl":"Lusaca","name:he":"לוסקה","name:ht":"Louzaka","name:hu":"Lusaka","name:hy":"Լուսակա","name:is":"Lúsaka","name:ja":"ルサカ","name:ka":"ლუსაკა","name:ko":"루사카","name:ky":"Лусака","name:la":"Lusaca","name:mk":"Лусака","name:mn":"Лусака","name:mr":"लुसाका","name:nl":"Lusaka","name:pl":"Lusaka","name:ru":"Лусака","name:sr":"Лусака","name:sv":"Lusaka","name:ta":"லுசாக்கா","name:tg":"Лусака","name:th":"ลูซากา","name:ug":"لۇساكا","name:uk":"Лусака","name:ur":"لوساکا","name:zh":"盧薩卡","name:ckb":"لووساکا","name:mrj":"Лусака","name:pnb":"لوساکا","name:udm":"Лусака","wikipedia":"de:Lusaka","is_capital":"country","population":"1742979","admin_level":"2","is_in:country":"Zambia","is_in:continent":"Africa","is_in:country_code":"ZM"
27564996	-29.8618254	31.0099095	city	Durban	No data	Дурбан	3460000	"name":"Durban","place":"city","source":"sagns","name:af":"Durban","name:hi":"डरबन","name:kn":"ಡರ್ಬನ್","name:mr":"डरबन","name:ru":"Дурбан","name:sr":"Дурбан","name:te":"డర్బన్","name:zu":"eThekwini","sagns_id":"88104","wikipedia":"en:Durban","population":"3460000","is_in:country":"South Africa","is_in:continent":"Africa"
